booking_id,restaurant_id,restaurant_name,client_id,client_name,amount,guests,date,country
dc850fb2-5e7c-47bf-9714-35caadfc9a35,81b15746-2dcb-4b3b-92ac-49cf8865e26b,Guerciotti,4acbc416-76f3-4af0-8ea3-90dfafa1c381,Teodoro Restuccia,"90,04 €",9,11/01/2017,Italia
057dc1c7-5e27-41a0-b14b-d3e17cee79c0,47bce3e7-ff17-4d66-8aa8-44afdfbc6eac,Adixen Vacuum Products,e16e4945-8eb0-4126-9df3-e8d82a944bc9,Maissa Gosset,"105,32 €",4,10-08-2016,France
42824289-4511-4180-b2b1-087b5b72f720,af869ab5-ab57-4c50-8456-a74341edc070,Taylor Wimpey (TW.),c69d90fb-7e10-4be7-be68-2b4756601e1d,Keith Valenzuela,£11.30,8,29/01/2015,United Kingdom
0f990c62-8144-4fec-bcdd-3fa50883ffff,f39eb8a8-0596-4de6-952a-900278f98f44,Fid.euro.val. (FEV),c891f0c6-9141-4f94-88d8-9ca0cb82b60d,Coreen Maynard,£86.57,3,10/11/2013,United Kingdom
ea06d7bb-4b88-4cf2-b110-41ef7b24cb0d,d923c631-07d9-4614-b2a0-dee85f09e45d,Big Yellow Grp (BYG),d6f1569a-3228-4c8c-8047-95e2af6d6c3b,Barry Wooten,£64.28,3,02/11/2013,United Kingdom
e67f66bc-8509-4b97-b8dd-acefa1abb47c,65539204-db14-491b-b495-992ff6bebb52,Anovo,928430b5-641d-4abc-b0a8-65ebc7c3df46,Gwenaëlle Levy,"43,49 €",1,01-03-2008,France
399d8f68-e44b-457d-9b25-b4d9ff8abbb8,d342086c-266d-481d-a862-7f0973b3a10b,Abengoa,621738db-403b-47cb-a8a5-8f2779229e63,Cristina Soler,"123,30 €",2,10/07/2013,España
0a55afc6-64fb-4807-af46-9cad7114742a,af869ab5-ab57-4c50-8456-a74341edc070,Taylor Wimpey (TW.),a8bd2d81-59f1-4254-9020-3d079cb5aa5f,Tiera Salinas,£55.60,5,17/11/2017,United Kingdom
50d9d1bd-d02f-4175-af81-ecb532ad2c80,4d855010-a547-4e19-a43a-37df6e84c83a,Mivar,f8f12df1-1400-4cf5-8f13-576dea3851d1,Teodora Belsito,"186,37 €",5,27/12/2018,Italia
a266bde2-0d42-4d26-a2a3-dae0b1e2c892,18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,0bd0d880-e05f-49f4-83d8-650f7a7ace58,Abdoulaye Simonin,"130,64 €",6,30-05-2012,France
7fb62fe4-5a2d-4aaf-80c5-b71121fb87f2,9a353990-0bf9-47a0-99c3-b8d4928a4a7e,Ostoni,165dacab-9965-422f-90b1-682ef6bef907,Brizio Baldino,"113,79 €",3,28/05/2016,Italia
59f722a3-d656-47c5-b62b-23b6f1063f00,18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,8049b33f-be99-4b6b-ac50-fa86d05bb7a1,Arthur Le Gall,"187,93 €",7,15-10-2001,France
a69e02f6-8f41-472d-8809-84891088cc8e,47bce3e7-ff17-4d66-8aa8-44afdfbc6eac,Adixen Vacuum Products,54929b3c-7f97-4e79-800e-8b092b5da9d6,Cabal Monier,"63,05 €",9,22-11-2017,France
f052f0b0-f05b-404f-b156-2c6eef0ee508,5e07f3ac-ee0f-4151-80f2-991c84b68c39,ALAN,e36c69ba-8ae7-43eb-80bb-d3823f65c3c1,Marcio Uccello,"86,62 €",6,16/02/2018,Italia
8b1bd0bb-aa7d-4d5e-a445-a6ed15cc2344,18edc623-4264-40d3-a292-1b7e24e92fb4,Essilor,11989c57-4e37-4863-986a-3a950e8ac2bd,Elsa Gariépy,"182,43 €",12,03-07-2001,France
ec781fb8-5ebf-41b2-a6f6-68210c228605,862ecfd0-1c40-4f8d-a991-b29c8961dbf3,Nuovo Banco Ambrosiano,145be053-5fd4-41e7-9656-223379a860a6,Romana Virgilio,"121,09 €",6,12/02/2021,Italia
9de1db01-080a-4761-a88f-99b50dfd81b1,3195ed26-7926-45a8-b70b-93264d47908d,Just Eat (JE.),b4d086cf-c570-42dd-86d0-e58d052fa11e,Yanira Sanchez,£35.44,4,18/08/2005,United Kingdom
